ConnectionType,Provider,EmployeeCount,Bandwidth,MajorIssue,DataCap,DeviceAge,RouterLocation,NetworkLatency,Usage,ProviderIssue,SignalIssue,LegacyIssue,LatencyIssue,SpywareIssue,ConnectionTypeIssue,BandwidthIssue
4,1,1,2,1,1,3,2,2,1,0,0,1,0,0,0,0
4,1,1,3,1,1,1,3,2,2,0,1,1,1,0,0,0
2,1,1,2,1,1,3,3,1,1,0,1,1,0,0,1,0
4,1,1,1,2,1,3,1,1,1,0,0,1,0,0,0,1
4,1,2,4,1,2,1,3,1,1,0,1,0,0,0,0,0
4,1,2,2,1,2,2,1,1,1,0,0,1,0,0,0,0
4,1,2,4,1,2,1,2,1,2,0,0,0,1,0,0,0
2,1,1,1,2,3,1,1,2,1,0,0,0,0,0,1,1
4,1,2,4,1,3,1,3,2,1,0,1,0,0,0,0,0
4,1,2,4,1,2,2,1,2,2,0,0,1,1,0,0,0
2,1,1,4,4,3,3,1,2,1,0,0,1,0,0,0,0
4,1,1,1,5,2,1,1,1,2,0,0,0,1,0,0,1
4,3,2,3,1,3,1,1,1,1,1,0,0,0,1,0,0
4,1,1,4,1,1,3,3,1,1,0,1,1,0,0,0,0
4,1,1,4,5,1,1,1,1,1,0,0,1,0,0,0,0
1,3,1,2,1,2,2,1,3,1,1,0,1,0,0,1,0
4,3,3,4,1,1,3,1,2,1,1,0,1,0,0,0,0
4,1,1,1,2,2,1,2,1,1,0,1,0,0,0,0,1
3,2,3,4,1,1,2,1,1,1,0,0,0,0,0,1,0
3,1,3,1,1,2,3,1,2,1,0,0,1,0,0,0,1
1,2,1,2,1,3,1,3,3,3,0,1,0,1,0,1,0
4,1,1,3,1,1,1,1,1,1,0,0,0,0,1,0,0
4,4,3,3,1,3,1,1,1,1,0,0,0,0,0,0,1
4,1,1,3,4,2,3,2,1,3,0,1,1,1,0,0,0
4,4,2,1,1,1,1,3,1,1,0,1,0,0,0,0,1
4,1,3,3,1,3,1,1,1,1,0,0,0,0,1,0,0
1,4,3,1,1,1,1,1,1,2,0,0,0,1,0,1,1
,,,,,,,,,,,,,,,,
Satellite=1,ATT=1,< 15 =1,<=100 =1,All Around=1,10=1,<2=1,close to device=1,30-40=1,Reg Downloading/Uploading=1,,,,,,,
DSL=2,Verizon=2,15 <x<30 = 2,100<x<300=2,Conference Lag=2,20=2,2<x<10=2,mid distance from device=2,40-120=2,Video Calls=2,,,,,,,
Cable=3,Spectrum=3,>=30 = 3,300<x<1000=3,File Share slow =3,30=3,>10=3,far from device=3,>=120=3,Gaming=3,,,,,,,
Fiber=4,Optimum=4,,>=1000 = 4,Payment Processing slow =4,>30=4,,,,,,,,,,,
,,,,Cloud Tools Slow=5,,,,,,,,,,,,
